Cell_ID,Sample,Cell_Type,x,y
100029194729477472162047791686277547250,mouse1_slice221,90,140.9419965147972,-2678.142903059721
100141638384685944504186567613653468492,mouse1_slice221,93,490.1479862928391,-3128.267906665802
100199724260696365101982675842433317515,mouse1_slice221,268,610.4403833985328,-3286.204807677865
100216512810042512738054357433364423486,mouse1_slice221,34,-993.4454054728152,-3621.4629044234753
100375818383721597063890253100110999488,mouse1_slice221,72,-1210.4548550635575,-3070.8399032354355
100419841609373151440771633518061001875,mouse1_slice221,17,-1269.205853649974,-2422.236804404855
10046461432903237903314570623056010708,mouse1_slice221,33,-1129.1449522078035,-3601.728454898298
100472409584520386833943694908609880944,mouse1_slice221,74,-96.27604877501726,-3534.4809065163136
100552737077902949827707739419189906023,mouse1_slice221,67,704.9719859361649,-3141.456906348467
10059790586711580354125512997480691589,mouse1_slice221,181,-329.41751323640347,-2710.228407099843
100639305213515969341978203261432980300,mouse1_slice221,252,-692.7390141189098,-2860.811903476715
100736090778629670733864007783134022865,mouse1_slice221,79,22.582998365163803,-3435.1860040932893
100795434859513648695317102183774679698,mouse1_slice221,30,529.8784853368998,-4499.457852546871
100807492005641852083808172510299279849,mouse1_slice221,129,-415.6651159733534,-3787.999905228615
1008713006415859436913698647711722011,mouse1_slice221,157,-622.4340158104897,-3012.306904643774
101027707887752269982508577887140952842,mouse1_slice221,258,584.6509840190411,-3834.978904098272
101097527483252402994458569439421228814,mouse1_slice221,136,767.2109844386578,-3224.296904355288
101151302978402959491123533477242885498,mouse1_slice221,7,473.2529866993427,-4055.4763536050914
101162072160377089378692776397849037460,mouse1_slice221,157,-774.9100169539452,-3038.8920040041207
101184539195167281293526159802686508016,mouse1_slice221,95,-417.5290159285069,-2775.0289055407047
101197513062078710676153737684318611088,mouse1_slice221,108,584.3730340257287,-2867.7879033088684
101210188360310915071370380140499764846,mouse1_slice221,101,-1528.8179522156715,-2804.349904835224
101236384494995592352219511458821280881,mouse1_slice221,27,711.8498857706785,-3226.5968042999507
10133000575169977472126553211303895225,mouse1_slice221,36,-525.0030133426189,-3652.320803681016
101331752798571443207450728802003914913,mouse1_slice221,131,-244.1359152883291,-3798.1478049844495
101350254833950051377223865267896838073,mouse1_slice221,74,594.7934337750078,-3971.655355621874
10135781880788189204309816031933773614,mouse1_slice221,31,-625.4860157370567,-3898.471402570605
101358176358340941830405642016295800873,mouse1_slice221,79,123.17499694228172,-3499.600907355547
101422890158835821212822851406737080789,mouse1_slice221,151,233.2609029203653,-2853.083803662658
101439378568739317277561854418626405917,mouse1_slice221,84,-680.1440644219517,-3276.834903091192
101456685578913102862928551626291777105,mouse1_slice221,249,-1035.682904456556,-2806.2574047893286
101464125580295641732303908423475230564,mouse1_slice221,6,358.7198999017477,-3696.563902616501
101480848457962344462147665595302929782,mouse1_slice221,100,18.342898467183105,-2853.944903641939
101485985768851322789168385370066743931,mouse1_slice221,210,586.830983966589,-4079.565353025496
101509746791327849203868284885027712375,mouse1_slice221,4,326.99000066518784,-3060.4958034843207
101562813585540405085387715440259637329,mouse1_slice221,131,-1364.3628513604403,-3706.6859071850777
101654806145817128459670226452753143784,mouse1_slice221,39,-271.6039146274328,-3690.994002750516
101764265922175471721159181014825186305,mouse1_slice221,27,-645.3240152597427,-2901.1269073188305
101785002987502790713062729551623166003,mouse1_slice221,42,-176.2180169224739,-3403.4833548560737
101802686978879043888533871766392669761,mouse1_slice221,255,7.322998732328415,-3954.645906031132
101869387621589588528057598913375111671,mouse1_slice221,135,383.7680992990733,-3045.660903841257
101949535552975933992430334077475433091,mouse1_slice221,223,348.3540001511574,-3357.0330059736966
102002710031823094235849867346161354805,mouse1_slice221,25,405.9059987664223,-3638.139904022217
102123661029058376083041244489746652686,mouse1_slice221,235,-1171.105856010318,-2563.7964558109643
102228245205288051963771548528523919123,mouse1_slice221,174,-520.8065134435892,-3249.034453760088
102249449214530814389644732817008042432,mouse1_slice221,150,-1494.3794030442834,-2846.80540381372
102361926934578932656204842523970238806,mouse1_slice221,38,20.83899840712548,-2627.1309042871
102377931920093733827416487732719083279,mouse1_slice221,31,201.53509505689144,-3707.44890716672
102461529160142140158173216381216256873,mouse1_slice221,86,-732.910963152349,-3211.9199546530845
102477801814594777035937973173686489102,mouse1_slice221,23,-338.7370130121708,-3288.711807617545
102531664470956460918136159738572365038,mouse1_slice221,212,-112.90399837493896,-4018.628904491663
102581583408934877524432232277328089443,mouse1_slice221,34,-1040.190054348111,-3563.9109058082104
102614579268372111029267854569904954992,mouse1_slice221,348,498.2139860987663,-3367.725905716419
102644740250412108153166704881784013568,mouse1_slice221,241,120.1120970159769,-2660.1688034921885
102694840974660322052349280488693362856,mouse1_slice221,232,-226.3580157160759,-2836.3468540653585
102695531749831448767115671107933210,mouse1_slice221,15,34.339999079704285,-2660.975403472781
102705881836788154140611558377631005192,mouse1_slice221,26,415.3889985382557,-3293.1699075102806
10270931578828085034038324986459794574,mouse1_slice221,127,435.9858875960112,-3051.3289037048817
102712860348759299112931773674284404600,mouse1_slice221,57,-454.6980150341988,-2584.511905312538
102745696380022315471599613323852036113,mouse1_slice221,273,-80.73809914886951,-3076.180903106928
102955130168209560323159523440282626745,mouse1_slice221,93,774.9608842521906,-3287.516902834177
103002660107149582110958321717091768372,mouse1_slice221,25,-68.00689945518971,-3713.0624070316553
103192886065986214360134425972657471653,mouse1_slice221,30,-902.7561138778924,-3890.241902768612
103396976834249012235887625317050423705,mouse1_slice221,8,-1363.5998513787986,-2468.768903285265
103398426517719335750795110664658156477,mouse1_slice221,69,-246.9699152201414,-3011.5929546609523
103447592851906565610590865798873113886,mouse1_slice221,125,-1181.55895575881,-2877.924903064966
103498100290632712522575924738185725183,mouse1_slice221,122,-30.71800035238266,-2582.342805364728
103511232385094546442123950601903921235,mouse1_slice221,160,-299.60601395368576,-2807.4019047617912
103563938254218333431671533307036800994,mouse1_slice221,79,844.7045325741171,-3984.015955324471
103655635900332048138811499743975173118,mouse1_slice221,251,-1268.0559036776424,-3111.3729070723057
103673348845800861594728803421785394646,mouse1_slice221,212,-868.541014701128,-2538.4158064216376
103784628188497166879192128299407142904,mouse1_slice221,114,285.0795016735792,-2552.4059560850264
103832139016041401756936216842596493798,mouse1_slice221,3,490.2569862902165,-4400.213354934752
103901477806559016536804626945200334904,mouse1_slice221,1,726.226985424757,-3693.7258074969054
103933382948845308260968690240196242797,mouse1_slice221,49,510.2039858102799,-4154.754906028509
103961259307294804640609825203523224762,mouse1_slice221,89,6.232998758554459,-3450.7839037179947
104041722273632463821017614335504440776,mouse1_slice221,336,-574.5721169620753,-3898.318802574277
10406517331351782188931854701667938781,mouse1_slice221,201,-1462.7748538047076,-2740.8138063639403
104131859867164637137199807273753613157,mouse1_slice221,288,510.3129858076573,-3036.0689040720463
104174301748711731417879176097666658910,mouse1_slice221,70,-259.5049149185419,-3586.0379052758217
104199267666755021957756437684298889038,mouse1_slice221,43,598.59208368361,-3198.24590498209
104208607852938959708012535467406962562,mouse1_slice221,68,-248.915565173328,-3405.0039048194885
104285228794187045784178516242053700249,mouse1_slice221,3,339.63400036096573,-4167.497005721927
104368740104003391002760132847942659626,mouse1_slice221,39,690.9055362746119,-4233.83440412581
104369538869123083694064668825689100814,mouse1_slice221,267,485.24298641085625,-3846.096903830767
104407342860826338696593562919449288616,mouse1_slice221,243,727.5349853932858,-3404.894904822111
104436730216111336583744623087283992986,mouse1_slice221,44,246.33000260591507,-3916.386906951666
104504419713585379064875613540228489288,mouse1_slice221,157,-796.0015164464712,-2936.110456477106
104525400307487924177954864094063031873,mouse1_slice221,52,-931.6411131829024,-3808.164904743433
104590799640834301531459161795598146914,mouse1_slice221,278,-748.7650127708912,-3388.653905212879
104646531609144918287875499593160208726,mouse1_slice221,123,-895.3550140559673,-3040.9793539538978
104674218567617406426454918685044507637,mouse1_slice221,274,632.8289828598499,-2935.7889064848423
104684630653318312110986077486286764241,mouse1_slice221,35,-230.2711156219244,-2672.038903206587
104692829326777348941841338350282177336,mouse1_slice221,74,97.12399756908415,-3534.093956525624
104711692614531245005199612792629038558,mouse1_slice221,21,-709.5359137147665,-3643.099403902888
104819264919908873511152085759815923100,mouse1_slice221,81,-1403.576955229044,-2624.5149043500423
104822764140051460991960075437606024883,mouse1_slice221,94,133.86244668513535,-3797.155905008316
104876896681429321034015792166647709931,mouse1_slice221,241,474.1249866783619,-2798.954404965043
104935535981626729916678814830924132587,mouse1_slice221,10,-944.0780128836632,-3891.103002747893
105215338332393494972641592610758521125,mouse1_slice221,126,-853.6080150604248,-2888.046907633543
105216645454661050956212148304295384819,mouse1_slice221,122,585.8390839904547,-2605.984904795885
105232794000446953065000538145615649060,mouse1_slice221,50,692.0009862482548,-3756.6133559837936
105256285889047979704283417657125035478,mouse1_slice221,37,493.6359862089157,-3470.0769032537937
105333584220825393938734026678431368698,mouse1_slice221,61,-1212.1879550218582,-2944.617906272412
105334499355829202711989837184186113920,mouse1_slice221,237,158.4800960928202,-2817.1029045283794
105411451654804801828942485590438405634,mouse1_slice221,99,-799.9800163507462,-2502.122902482748
105428849453077164881931995940830252111,mouse1_slice221,11,-982.3219557404518,-3290.623402759433
105448899126107843939369303617677340743,mouse1_slice221,126,-889.4581141978503,-2934.589906513691
105484144875360828993993499632808071976,mouse1_slice221,19,224.43599450588223,-2981.132905393839
105521749194076635215955413211021632633,mouse1_slice221,166,-960.53701248765,-2615.914804556966
105556083173957236138857163308522588095,mouse1_slice221,50,290.5840015411377,-3472.692903190851
10557486109178422635343676313550313565,mouse1_slice221,106,-648.4959151834249,-2921.618906825781
105582463171343363764576004852161912964,mouse1_slice221,157,-1400.4159553050995,-2924.5619067549706
105593304618228012698743660145026591901,mouse1_slice221,77,-133.17799788713455,-2684.0289029181004
