gene,estimate,pvalue
ABL1,0.0915866002469454,7.75552310890237e-167
ABL2,0.0680879084694626,6.39093557213923e-93
ACE,-0.01648443056443,7.6179234349827e-07
ACE2,0.0176898849781,1.11707377222032e-07
ACKR1,-0.0444373328369569,1.43404735438233e-40
ACKR3,0.0521885655198591,2.63039718340995e-55
ACKR4,0.0266746503040701,1.21822886462369e-15
ACTA2,-0.0121892200071848,0.000255838876021316
ACTG2,0.0253166397079813,3.07676738123467e-14
ACVR1,0.105129000626827,1.86775986493793e-219
ACVR1B,0.0339178259918443,2.51907090309851e-24
ACVR2A,0.153472766932343,0
ACVRL1,-0.0405814109335046,4.09249159546452e-34
ADGRA2,-0.00886347180175228,0.00784456904601981
ADGRA3,0.113179035366985,3.09016932073843e-254
ADGRB2,0.0349861949674306,8.8727887753406e-26
ADGRB3,0.0255554834787024,1.76442617846314e-14
ADGRD1,-0.0113946080483031,0.000630898123322162
ADGRE5,-0.0637686933420055,1.02184660072041e-81
ADGRF1,0.00953603368206,0.00423056220332672
ADGRF3,0.0653442339504137,1.01826103486299e-85
ADGRF4,0.04302610936471,3.85968494368852e-38
ADGRF5,-0.0736597513051333,1.83225780817756e-108
ADGRG1,0.211827886716689,0
ADGRG2,0.0170500731794512,3.14386215562236e-07
ADGRG3,0.0384416910449032,8.78783743824144e-31
ADGRG5,0.0132361425666956,7.17490630150709e-05
ADGRG6,0.00713138201049634,0.0324263623004972
ADGRL1,0.113535067390136,7.78186480243123e-256
ADGRL2,-0.0219890294003802,4.20982026123662e-11
ADGRV1,-0.0352230640354211,4.16739648838304e-26
ADIPOQ,0.046123463863664,1.41618883468114e-43
ADIRF,0.0496714795744674,2.90766837515393e-50
ADM2,0.0655879694381254,2.39923920442003e-86
ADORA2A,0.0351645391870632,5.02524455443814e-26
AGR2,0.0426570254101903,1.61897872018132e-37
AHI1,0.0442229490961041,3.39410543749598e-40
AHR,0.24040184840068,0
AKT1,0.0911139189530175,3.91996619664678e-165
ALCAM,-0.0343085075318582,7.49870068347413e-25
ANGPT1,0.0202786370589787,1.17743246154734e-09
ANGPT2,-0.0296537417224125,5.75215815994356e-19
ANGPT4,0.0355435944901555,1.48688705021379e-26
ANGPTL1,0.02712611253975,4.01569719172164e-16
ANXA1,0.0534461618010999,6.41266268803814e-58
ANXA2,0.262023609609871,0
ANXA4,0.11090048258956,3.98993316094923e-244
APOA1,0.0578280390912995,1.64891827700177e-67
APOB,0.0273580468557314,2.25472879378221e-16
APOD,0.0136817428506655,4.05913297832685e-05
APP,0.124795733796307,4.56347958628049e-309
AQP3,-0.0595251647622856,1.99592039022995e-71
AR,0.0156178939295202,2.80044676234938e-06
ARF1,0.0995320691554654,8.15850846891236e-197
ARHGDIB,-0.172230203739836,0
ARTN,0.169696141871094,0
ATF3,0.0113160013472514,0.000687815690447687
ATG12,0.051095811158039,4.36626570742796e-53
ATG5,0.0789179018748539,2.93023343543377e-124
ATM,0.164570918982675,0
ATR,0.0791755056886676,4.62189145739471e-125
AXL,-0.0573477935244405,2.01863716927163e-66
AZU1,0.0387843962576372,2.64386036863122e-31
B2M,-0.11386278856166,2.59883484165435e-257
B3GNT7,-0.034554946283473,3.4671938824064e-25
BAG3,0.265896908149591,0
BATF3,-0.00840583484903571,0.0116885672033609
BAX,0.0755170592975889,6.43804958817475e-114
BCL2,0.0510202561615107,6.19269668230582e-53
BCL2L1,0.057421092689528,1.37913450838729e-66
BECN1,0.151126911773313,0
BEST1,0.0443546722296414,2.00006017717565e-40
BGN,-0.186766439468987,0
BID,0.147519934195668,0
BIRC5,0.128870445990828,0
BMP1,0.0826745445972744,3.22644235943197e-136
BMP2,0.039803602042162,6.9793756944844e-33
BMP3,0.00966543289783282,0.0037405108187601
